Complex ID,Name,Address,City,County,Owner,Owner Type,Units,Tenants,Priority Score,Accessibility,Assessed Value,Year Built
complex_clark_201456,Las Vegas Apartment Complex - First St,9021 First St, Las Vegas, NV,Las Vegas,Clark County,Las Vegas Apartment Group Corp 1457,corporate,300,660,8.5,8.5,3239587.0,2010
complex_clark_201632,Henderson Apartment Complex - Pine St,6394 Pine St, Henderson, NV,Henderson,Clark County,Clark Property Holdings LP 1633,corporate,300,660,8.5,8.5,3495263.0,1992
complex_clark_203248,Boulder City Apartment Complex - Elm Ave,5540 Elm Ave, Boulder City, NV,Boulder City,Clark County,Clark Housing LLC 3249,corporate,300,660,8.5,7.0,2716356.0,1996
complex_clark_203668,Boulder City Apartment Complex - Main St,2212 Main St, Boulder City, NV,Boulder City,Clark County,Las Vegas Real Estate Inc 3669,corporate,300,660,8.5,7.0,3007842.0,1977
complex_clark_205237,North Las Vegas Apartment Complex - Elm Ave,671 Elm Ave, North Las Vegas, NV,North Las Vegas,Clark County,Las Vegas Real Estate LP 5238,corporate,300,660,8.5,8.5,3548291.0,2021
complex_clark_205686,North Las Vegas Apartment Complex - Elm Ave,5261 Elm Ave, North Las Vegas, NV,North Las Vegas,Clark County,Clark Property Holdings LP 5687,corporate,300,660,8.5,8.5,2113195.0,1989
complex_clark_205844,Boulder City Apartment Complex - Oak Dr,8232 Oak Dr, Boulder City, NV,Boulder City,Clark County,Nevada Investment Properties LLC 5845,corporate,300,660,8.5,7.0,1631748.0,1996
complex_clark_207395,Boulder City Apartment Complex - Pine St,798 Pine St, Boulder City, NV,Boulder City,Clark County,Nevada Investment Properties LLC 7396,corporate,300,660,8.5,7.0,3697057.0,1994
complex_clark_208933,Henderson Apartment Complex - Main St,2555 Main St, Henderson, NV,Henderson,Clark County,Nevada Investment Properties Inc 8934,corporate,300,660,8.5,8.5,3918011.0,1996
complex_clark_209627,Henderson Apartment Complex - Elm Ave,7615 Elm Ave, Henderson, NV,Henderson,Clark County,Clark Property Holdings Inc 9628,corporate,300,660,8.5,8.5,3177128.0,1999
complex_clark_211181,Henderson Apartment Complex - Oak Dr,8024 Oak Dr, Henderson, NV,Henderson,Clark County,Nevada Investment Properties Corp 11182,corporate,300,660,8.5,8.5,4807151.0,1980
complex_clark_212296,Henderson Apartment Complex - Pine St,7545 Pine St, Henderson, NV,Henderson,Clark County,Silver State Properties LP 12297,corporate,300,660,8.5,8.5,3189404.0,2003
complex_clark_214505,Las Vegas Apartment Complex - Elm Ave,787 Elm Ave, Las Vegas, NV,Las Vegas,Clark County,Nevada Investment Properties Inc 14506,corporate,300,660,8.5,8.5,4264770.0,1993
complex_clark_215586,Boulder City Apartment Complex - Park Blvd,2635 Park Blvd, Boulder City, NV,Boulder City,Clark County,Nevada Investment Properties Inc 15587,corporate,300,660,8.5,7.0,4789408.0,2022
complex_clark_219625,Henderson Apartment Complex - Park Blvd,4595 Park Blvd, Henderson, NV,Henderson,Clark County,Clark Housing LP 19626,corporate,300,660,8.5,8.5,4898468.0,1976
complex_clark_220512,Boulder City Apartment Complex - Main St,9675 Main St, Boulder City, NV,Boulder City,Clark County,Clark Property Holdings Corp 20513,corporate,300,660,8.5,7.0,1140062.0,2006
complex_clark_221724,Boulder City Apartment Complex - Oak Dr,6284 Oak Dr, Boulder City, NV,Boulder City,Clark County,Nevada Investment Properties LP 21725,corporate,300,660,8.5,7.0,2705486.0,1999
complex_clark_224083,Henderson Apartment Complex - Central Ave,2619 Central Ave, Henderson, NV,Henderson,Clark County,Las Vegas Apartment Group Corp 24084,corporate,300,660,8.5,8.5,3316988.0,1980
complex_clark_224152,North Las Vegas Apartment Complex - Oak Dr,7150 Oak Dr, North Las Vegas, NV,North Las Vegas,Clark County,Silver State Properties LLC 24153,corporate,300,660,8.5,8.5,2467737.0,1999
complex_clark_225534,North Las Vegas Apartment Complex - Main St,4447 Main St, North Las Vegas, NV,North Las Vegas,Clark County,Nevada Investment Properties Corp 25535,corporate,300,660,8.5,8.5,4248355.0,1993
complex_clark_227056,North Las Vegas Apartment Complex - Central Ave,9217 Central Ave, North Las Vegas, NV,North Las Vegas,Clark County,Las Vegas Rental Management Inc 27057,corporate,300,660,8.5,8.5,1642728.0,2021
complex_clark_227842,Boulder City Apartment Complex - Elm Ave,2379 Elm Ave, Boulder City, NV,Boulder City,Clark County,Clark Property Holdings LLC 27843,corporate,300,660,8.5,7.0,3638902.0,2016
complex_clark_232434,Las Vegas Apartment Complex - Pine St,2936 Pine St, Las Vegas, NV,Las Vegas,Clark County,Las Vegas Apartment Group Inc 32435,corporate,300,660,8.5,8.5,4295771.0,1971
complex_clark_235221,Henderson Apartment Complex - Elm Ave,2767 Elm Ave, Henderson, NV,Henderson,Clark County,Silver State Properties Inc 35222,corporate,300,660,8.5,8.5,1306213.0,2024
complex_clark_235558,Boulder City Apartment Complex - Pine St,6628 Pine St, Boulder City, NV,Boulder City,Clark County,Clark Housing Corp 35559,corporate,300,660,8.5,7.0,4883863.0,2006
complex_clark_238758,North Las Vegas Apartment Complex - Main St,5830 Main St, North Las Vegas, NV,North Las Vegas,Clark County,Las Vegas Rental Management Corp 38759,corporate,300,660,8.5,8.5,2774006.0,1989
complex_clark_239422,North Las Vegas Apartment Complex - Park Blvd,4454 Park Blvd, North Las Vegas, NV,North Las Vegas,Clark County,Las Vegas Real Estate LLC 39423,corporate,300,660,8.5,8.5,1126762.0,1995
complex_clark_247944,North Las Vegas Apartment Complex - First St,2002 First St, North Las Vegas, NV,North Las Vegas,Clark County,Clark Housing Corp 47945,corporate,300,660,8.5,8.5,4498226.0,1998
complex_clark_248872,Las Vegas Apartment Complex - Pine St,2387 Pine St, Las Vegas, NV,Las Vegas,Clark County,Las Vegas Rental Management Corp 48873,corporate,300,660,8.5,8.5,2550281.0,1977
complex_clark_250052,Henderson Apartment Complex - Central Ave,2125 Central Ave, Henderson, NV,Henderson,Clark County,Silver State Properties LP 50053,corporate,300,660,8.5,8.5,1280894.0,1975
complex_clark_252957,Las Vegas Apartment Complex - Elm Ave,6393 Elm Ave, Las Vegas, NV,Las Vegas,Clark County,Clark Property Holdings LLC 52958,corporate,300,660,8.5,8.5,4833859.0,2002
complex_clark_253841,Henderson Apartment Complex - Main St,7965 Main St, Henderson, NV,Henderson,Clark County,Las Vegas Real Estate LLC 53842,corporate,300,660,8.5,8.5,4735324.0,1970
complex_clark_254367,North Las Vegas Apartment Complex - Oak Dr,9982 Oak Dr, North Las Vegas, NV,North Las Vegas,Clark County,Las Vegas Apartment Group LP 54368,corporate,300,660,8.5,8.5,2966339.0,1990
complex_clark_254585,Boulder City Apartment Complex - Pine St,7152 Pine St, Boulder City, NV,Boulder City,Clark County,Las Vegas Real Estate Corp 54586,corporate,300,660,8.5,7.0,2301843.0,2012
complex_clark_255730,Las Vegas Apartment Complex - Pine St,5252 Pine St, Las Vegas, NV,Las Vegas,Clark County,Clark Property Holdings LP 55731,corporate,300,660,8.5,8.5,2096752.0,1977
complex_clark_255892,North Las Vegas Apartment Complex - Elm Ave,8419 Elm Ave, North Las Vegas, NV,North Las Vegas,Clark County,Las Vegas Apartment Group LLC 55893,corporate,300,660,8.5,8.5,3530846.0,1990
complex_clark_255902,North Las Vegas Apartment Complex - First St,1081 First St, North Las Vegas, NV,North Las Vegas,Clark County,Las Vegas Apartment Group LLC 55903,corporate,300,660,8.5,8.5,4489053.0,2016
complex_clark_259978,North Las Vegas Apartment Complex - Elm Ave,9663 Elm Ave, North Las Vegas, NV,North Las Vegas,Clark County,Las Vegas Rental Management LLC 59979,corporate,300,660,8.5,8.5,3429291.0,1974
complex_washoe_201039,Sparks Apartment Complex - Park Blvd,4281 Park Blvd, Sparks, NV,Sparks,Washoe County,Reno Real Estate Corp 1040,corporate,300,660,8.5,8.0,1284561.0,1978
complex_washoe_201130,Sparks Apartment Complex - Central Ave,116 Central Ave, Sparks, NV,Sparks,Washoe County,Washoe Property Holdings Inc 1131,corporate,300,660,8.5,8.0,4769945.0,1991
complex_washoe_201716,Sparks Apartment Complex - Pine St,5509 Pine St, Sparks, NV,Sparks,Washoe County,Reno Apartment Group Corp 1717,corporate,300,660,8.5,8.0,1692373.0,1977
complex_washoe_205284,Sparks Apartment Complex - Central Ave,6882 Central Ave, Sparks, NV,Sparks,Washoe County,Washoe Property Holdings LP 5285,corporate,300,660,8.5,8.0,3397919.0,2024
complex_washoe_205378,Sparks Apartment Complex - Central Ave,8682 Central Ave, Sparks, NV,Sparks,Washoe County,Nevada Investment Properties Inc 5379,corporate,300,660,8.5,8.0,1460779.0,1978
complex_clark_200618,North Las Vegas Apartment Complex - Elm Ave,1447 Elm Ave, North Las Vegas, NV,North Las Vegas,Clark County,Las Vegas Rental Management LP 619,corporate,299,657,8.5,8.5,1190138.0,1984
complex_clark_202766,Henderson Apartment Complex - Main St,7221 Main St, Henderson, NV,Henderson,Clark County,Clark Property Holdings LLC 2767,corporate,299,657,8.5,8.5,2526497.0,2004
complex_clark_202808,Henderson Apartment Complex - Oak Dr,5050 Oak Dr, Henderson, NV,Henderson,Clark County,Las Vegas Apartment Group Corp 2809,corporate,299,657,8.5,8.5,2892030.0,1981
complex_clark_203200,North Las Vegas Apartment Complex - Central Ave,3916 Central Ave, North Las Vegas, NV,North Las Vegas,Clark County,Nevada Investment Properties LLC 3201,corporate,299,657,8.5,8.5,3013377.0,2014
complex_clark_204536,North Las Vegas Apartment Complex - Pine St,4740 Pine St, North Las Vegas, NV,North Las Vegas,Clark County,Las Vegas Rental Management LP 4537,corporate,299,657,8.5,8.5,1384263.0,2002
complex_clark_207032,Boulder City Apartment Complex - Oak Dr,1365 Oak Dr, Boulder City, NV,Boulder City,Clark County,Silver State Properties Inc 7033,corporate,299,657,8.5,7.0,3631327.0,1978
complex_clark_209292,Las Vegas Apartment Complex - Oak Dr,9980 Oak Dr, Las Vegas, NV,Las Vegas,Clark County,Clark Property Holdings LP 9293,corporate,299,657,8.5,8.5,3646179.0,2003
complex_clark_209895,Las Vegas Apartment Complex - Central Ave,3146 Central Ave, Las Vegas, NV,Las Vegas,Clark County,Las Vegas Apartment Group Inc 9896,corporate,299,657,8.5,8.5,1564753.0,1989
